,j,Polarity,Coverage,Overlaps,Conflicts
width1,0,[0],0.2470637147905623,0.2470637147905623,0.13096351730589337
height1,1,"[0, 2]",0.48040744205384056,0.48040744205384056,0.2379170564390396
top1,2,"[1, 2]",0.4180438623843675,0.4180438623843675,0.1967570938571874
left1,3,[2],0.2364619062467519,0.2364619062467519,0.07254963101548696
drink1,4,[2],0.1436441118386862,0.1436441118386862,0.03585905830994699
drink2,5,[2],0.13813532896788275,0.13813532896788275,0.024009978172747116
nothing1,6,[3],0.01205695873609812,0.01205695873609812,0.01205695873609812
nothing2,7,[3],0.010705747843259537,0.010705747843259537,0.010705747843259537
waiting1,8,[1],0.2842739839933479,0.2842739839933479,0.08678931504001663
waiting2,9,[1],0.24467311090323252,0.24467311090323252,0.0689117555347677
svm_classifier,10,"[0, 1, 2]",1.0,0.9722482070470845,0.3461178671655753
group1,11,[0],0.19145618958528218,0.19145618958528218,0.08834840453175345
