,labeling_funcs,uuid,train-mm,test-mm,train-lm,test-lm,epochs,cardinality,seed,log_freq
0,"LabelingFunction width1, Preprocessors: []",3,0.9354636591478697,0.5422018348623853,0.9392230576441103,0.6321100917431193,1000,4,100,10
1,"LabelingFunction height1, Preprocessors: []",3,0.9354636591478697,0.5422018348623853,0.9392230576441103,0.6321100917431193,1000,4,100,10
2,"LabelingFunction top1, Preprocessors: []",3,0.9354636591478697,0.5422018348623853,0.9392230576441103,0.6321100917431193,1000,4,100,10
3,"LabelingFunction left1, Preprocessors: []",3,0.9354636591478697,0.5422018348623853,0.9392230576441103,0.6321100917431193,1000,4,100,10
4,"LabelingFunction drink1, Preprocessors: []",3,0.9354636591478697,0.5422018348623853,0.9392230576441103,0.6321100917431193,1000,4,100,10
5,"LabelingFunction drink2, Preprocessors: []",3,0.9354636591478697,0.5422018348623853,0.9392230576441103,0.6321100917431193,1000,4,100,10
6,"LabelingFunction nothing1, Preprocessors: []",3,0.9354636591478697,0.5422018348623853,0.9392230576441103,0.6321100917431193,1000,4,100,10
7,"LabelingFunction nothing2, Preprocessors: []",3,0.9354636591478697,0.5422018348623853,0.9392230576441103,0.6321100917431193,1000,4,100,10
8,"LabelingFunction waiting1, Preprocessors: []",3,0.9354636591478697,0.5422018348623853,0.9392230576441103,0.6321100917431193,1000,4,100,10
9,"LabelingFunction waiting2, Preprocessors: []",3,0.9354636591478697,0.5422018348623853,0.9392230576441103,0.6321100917431193,1000,4,100,10
10,"LabelingFunction svm_classifier, Preprocessors: []",3,0.9354636591478697,0.5422018348623853,0.9392230576441103,0.6321100917431193,1000,4,100,10
